   SP   PC
    0 0000
    0 0001
    0 0002
    0 0003
    0 0004
    1 0008
    1 0009
    1 000A
    1 000B
    2 0020
    2 0021
    2 0022
    1 000C
    0 0005
    0 0006
    0 0007
    1 0013
    1 0014
    1 0015
    1 0016
    1 0017
    1 0018
    1 0019
    0 0008
    0 0008
    0 0008
    0 0008
    0 0008
    0 0008
    0 0008
    0 0008
    0 0008
    0 0008
    0 0008
    0 0008
    0 0008
    0 0008
    0 0008
    0 0008
    0 0008
    0 0008
    0 0008
    0 0008
    0 0008
    0 0008
    0 0008
    0 0008
    0 0008
    0 0008
    0 0008
